HDname,HIPname,RAval,DECval
2MASS J03281868+4839482,,52.07783333,48.66338889
2MASS J01174349-5233307,,19.43127417,-52.55854528
2MASS J00291859+0952308,,7.327491667,9.875241667
,HIP 11437,36.87189363,30.97350375
,HIP 6276,20.13444829,-11.4677055
,HIP 84914,260.2984101,32.53602003
,HIP 8920,28.70977213,21.30624092
,TYC 4004-1409-1,356.1435083,55.73343056
,TYC 5241-986-1,344.895825,-7.039691667
,TYC 6312-824-1,296.6333792,-15.73001111
,TYC 6687-100-1,188.4254125,-24.57434722
